brand_group,sample_vehicles,annual_miles_per_vehicle,weighted_kwh_per_100_miles,annual_kwh_per_vehicle,sample_annual_gwh,sample_daily_mwh,avg_continuous_mw
Tesla,100000,8900,26.7748,2382.9536,238.2954,652.864,27.2027
Non-Tesla BEVs,100000,8900,31.8751,2836.8847,283.6885,777.229,32.3845
